timestamp_min,temperature_C,humidity_percent,temperature_rate_C_per_min,condition,time_to_critical_min
69,4.21,59.65,0.0012,Normal,4786.43
70,4.27,59.34,0.0416,Normal,137.59
71,4.29,59.66,-0.0552,Normal,
72,4.16,59.71,-0.0539,Normal,
73,4.18,59.91,-0.0391,Normal,
74,4.08,59.58,-0.0286,Normal,
75,4.12,59.65,0.0309,Normal,190.18
76,4.14,59.74,-0.0172,Normal,
77,4.09,59.79,-0.0155,Normal,
78,4.11,59.62,0.0864,Normal,68.17
79,4.26,59.73,0.027,Normal,212.67
80,4.17,59.9,-0.0866,Normal,
81,4.09,60.1,0.0074,Normal,803.49
82,4.18,59.89,0.0849,Normal,68.55
83,4.26,59.99,0.0714,Normal,80.39
84,4.32,60.47,0.0231,Normal,246.04
85,4.3,60.28,-0.0454,Normal,
86,4.23,60.08,-0.0387,Normal,
87,4.23,60.16,0.008,Normal,723.03
88,4.25,60.37,0.0116,Normal,496.23
89,4.25,60.73,-0.0101,Normal,
90,4.23,61.41,0.0144,Normal,399.6
91,4.28,61.2,-0.0178,Normal,
92,4.19,61.32,-0.0518,Normal,
93,4.18,61.5,0.01,Normal,582.91
94,4.21,61.48,-0.0149,Normal,
95,4.15,61.1,-0.0517,Normal,
96,4.11,61.31,-0.0093,Normal,
97,4.13,61.0,0.0155,Normal,379.08
98,4.14,61.1,-0.0284,Normal,
99,4.07,61.14,-0.033,Normal,
100,4.08,60.85,0.0166,Normal,356.04
101,4.1,60.99,0.0576,Normal,102.3
102,4.19,61.25,-0.0118,Normal,
103,4.08,61.02,-0.0345,Normal,
104,4.12,61.15,0.0412,Normal,142.66
105,4.16,62.11,0.0434,Normal,134.38
106,4.21,62.4,0.061,Normal,94.95
107,4.28,62.56,0.0255,Normal,223.69
108,4.26,62.75,-0.0435,Normal,
109,4.2,62.69,-0.0503,Normal,
110,4.16,62.71,0.0732,Normal,79.83
111,4.34,62.24,0.12,Normal,47.12
112,4.4,61.84,0.0086,Normal,653.3
113,4.36,62.11,-0.0163,Normal,
114,4.37,61.84,-0.026,Normal,
115,4.31,62.01,-0.0578,Normal,
116,4.25,62.07,-0.0274,Normal,
117,4.25,61.9,0.0876,Normal,65.6
118,4.43,62.06,0.0048,Normal,1172.96
119,4.26,62.11,-0.1075,Normal,
120,4.21,62.32,-0.0582,Normal,
121,4.15,62.29,-0.0115,Normal,
122,4.19,62.51,-0.0278,Normal,
123,4.09,62.43,-0.067,Normal,
124,4.05,62.26,0.0516,Normal,115.19
125,4.2,62.36,0.0202,Normal,287.61
126,4.09,62.59,0.0345,Normal,171.42
127,4.26,62.85,0.0241,Normal,237.89
128,4.14,62.73,-0.0101,Normal,
129,4.24,62.55,0.0684,Normal,84.12
130,4.28,62.75,-0.0193,Normal,
131,4.21,62.73,-0.1667,Normal,
132,3.95,62.48,-0.1398,Normal,
133,3.93,62.16,0.0552,Normal,110.05
134,4.06,61.81,0.0477,Normal,124.62
135,4.02,61.84,0.04,Normal,149.29
136,4.14,61.48,0.1042,Normal,56.28
137,4.23,61.48,0.0073,Normal,794.14
138,4.15,61.6,-0.0313,Normal,
139,4.17,61.45,0.0108,Normal,542.38
140,4.17,61.35,0.0073,Normal,794.71
141,4.18,61.52,0.068,Normal,85.59
142,4.31,61.21,0.1488,Normal,38.26
143,4.48,60.72,0.0792,Normal,69.66
144,4.47,60.87,0.0052,Normal,1070.56
145,4.49,60.71,0.0029,Normal,1890.53
146,4.47,60.59,-0.0319,Normal,
147,4.43,60.8,-0.0093,Normal,
148,4.45,60.63,0.0503,Normal,110.33
149,4.53,60.7,0.0685,Normal,79.91
150,4.59,60.86,-0.0006,Normal,
151,4.52,60.72,-0.0033,Normal,
152,4.58,60.87,0.0291,Normal,186.38
153,4.58,60.9,0.0503,Normal,107.76
154,4.69,60.76,0.073,Normal,72.81
155,4.73,60.7,0.0132,Normal,400.02
156,4.71,60.98,0.0243,Normal,217.54
157,4.78,61.18,0.0852,Normal,61.27
158,4.88,61.19,0.0795,Normal,64.38
159,4.94,61.11,0.0402,Normal,125.81
160,4.96,61.08,0.0168,Normal,299.02
161,4.97,61.23,-0.0288,Normal,
162,4.9,61.75,-0.073,Normal,
163,4.82,61.45,0.0061,Normal,850.72
164,4.92,61.64,0.0713,Normal,71.3
165,4.97,61.8,0.0245,Normal,205.64
166,4.97,61.58,0.0025,Normal,1980.08
167,4.97,61.41,0.042,Normal,119.61
168,5.05,61.37,0.006,Normal,827.07
169,4.98,61.29,-0.0165,Normal,
170,5.02,61.15,-0.0164,Normal,
171,4.95,61.21,-0.0231,Normal,
172,4.97,61.08,-0.009,Normal,
173,4.93,61.14,-0.0768,Normal,
174,4.82,60.79,-0.0867,Normal,
175,4.76,60.74,-0.0163,Normal,
176,4.78,61.11,0.0467,Normal,111.57
177,4.85,61.07,0.0335,Normal,153.42
178,4.85,60.81,-0.0015,Normal,
179,4.85,60.74,0.0122,Normal,423.2
180,4.88,60.54,0.0337,Normal,152.12
181,4.92,60.92,0.0164,Normal,309.45
182,4.91,61.02,0.0233,Normal,218.92
183,4.96,60.92,0.0366,Normal,137.7
184,4.98,60.92,0.0129,Normal,389.86
185,4.99,60.73,0.0049,Normal,1025.08
186,4.99,60.85,0.059,Normal,84.84
187,5.11,61.09,0.1442,Normal,33.93
188,5.28,60.9,0.121,Normal,39.0
189,5.35,60.95,0.1225,Normal,37.96
190,5.53,60.75,0.054,Normal,82.86
191,5.46,60.6,-0.1185,Normal,
192,5.29,60.46,-0.1153,Normal,
193,5.23,60.5,-0.0167,Normal,
194,5.25,60.97,0.0517,Normal,91.81
195,5.33,60.83,0.0021,Normal,2244.4
196,5.26,60.95,-0.0887,Normal,
197,5.15,61.41,-0.0056,Normal,
198,5.25,61.29,-0.0213,Normal,
199,5.11,61.63,-0.0731,Normal,
200,5.1,61.94,-0.0684,Normal,
201,4.97,61.79,-0.0636,Normal,
202,4.97,61.8,-0.0178,Normal,
203,4.94,61.96,-0.0607,Normal,
204,4.85,61.92,-0.0379,Normal,
205,4.86,62.05,0.0333,Normal,154.39
206,4.92,61.77,-0.0329,Normal,
207,4.8,62.09,-0.0481,Normal,
208,4.82,61.9,0.0753,Normal,68.71
209,4.95,61.93,0.1092,Normal,46.26
210,5.04,61.95,0.1296,Normal,38.26
211,5.21,62.38,0.0725,Normal,66.14
212,5.19,62.63,0.0159,Normal,303.55
213,5.24,62.97,-0.0128,Normal,
214,5.16,63.14,0.0037,Normal,1293.8
215,5.25,62.7,-0.005,Normal,
216,5.15,62.19,-0.0581,Normal,
217,5.13,62.37,0.0493,Normal,98.75
218,5.25,62.39,0.1252,Normal,37.93
219,5.38,62.04,-0.003,Normal,
220,5.24,62.03,-0.0528,Normal,
221,5.27,62.02,-0.0673,Normal,
222,5.11,62.0,-0.1349,Normal,
223,5.0,62.17,-0.0375,Normal,
224,5.03,61.93,-0.0059,Normal,
225,4.99,61.67,-0.0231,Normal,
226,4.99,61.91,-0.0419,Normal,
227,4.91,62.03,-0.0606,Normal,
228,4.87,61.83,-0.0255,Normal,
229,4.86,61.58,-0.0264,Normal,
230,4.81,61.28,0.0564,Normal,91.88
231,4.97,61.28,0.0506,Normal,99.39
232,4.92,61.34,-0.0325,Normal,
233,4.91,61.28,0.0201,Normal,253.76
234,4.96,61.47,0.0033,Normal,1507.43
235,4.91,61.33,-0.0322,Normal,
236,4.89,60.75,-0.0716,Normal,
237,4.77,61.09,0.0052,Normal,1007.59
238,4.9,61.03,0.0889,Normal,57.38
239,4.95,61.11,0.1462,Normal,34.56
240,5.19,61.39,0.118,Normal,40.72
241,5.18,61.15,-0.0694,Normal,
242,5.05,61.2,-0.0945,Normal,
243,4.99,60.85,-0.0561,Normal,
244,4.94,60.58,0.0416,Normal,121.51
245,5.08,60.8,0.0672,Normal,73.29
246,5.08,61.17,0.0028,Normal,1773.55
247,5.08,60.95,0.064,Normal,76.8
248,5.2,61.09,0.0194,Normal,246.72
249,5.12,61.04,-0.0765,Normal,
250,5.05,60.69,0.002,Normal,2446.66
251,5.13,61.17,-0.0189,Normal,
252,5.01,61.31,-0.082,Normal,
253,4.96,61.19,-0.0497,Normal,
254,4.91,60.97,-0.0218,Normal,
255,4.92,60.77,0.0128,Normal,398.26
256,4.94,60.75,0.0013,Normal,4014.57
257,4.92,60.53,-0.0326,Normal,
258,4.87,60.71,-0.003,Normal,
259,4.92,60.47,0.024,Normal,211.79
260,4.92,60.66,-0.0628,Normal,
261,4.79,60.79,-0.0933,Normal,
262,4.74,60.94,-0.057,Normal,
263,4.68,60.49,-0.0956,Normal,
264,4.55,60.5,-0.0547,Normal,
265,4.57,60.27,0.0359,Normal,151.23
266,4.62,59.86,0.0229,Normal,235.06
267,4.61,59.55,-0.0287,Normal,
268,4.56,59.56,-0.0605,Normal,
269,4.49,59.47,0.0058,Normal,944.14
270,4.57,59.32,0.0737,Normal,73.68
271,4.64,59.04,0.0546,Normal,98.17
272,4.68,59.4,-0.0777,Normal,
273,4.48,59.2,-0.0758,Normal,
274,4.53,59.15,0.0379,Normal,144.25
275,4.56,59.0,0.0183,Normal,297.19
276,4.57,58.96,0.0502,Normal,108.31
277,4.66,59.03,0.0602,Normal,88.7
278,4.69,58.92,-0.006,Normal,
279,4.65,58.81,-0.0037,Normal,
280,4.68,58.71,0.0274,Normal,194.43
281,4.7,59.23,0.0464,Normal,114.1
282,4.77,59.15,0.0829,Normal,63.08
283,4.87,59.05,-0.0335,Normal,
284,4.7,58.79,-0.1564,Normal,
285,4.55,58.71,-0.0741,Normal,
286,4.56,59.12,0.0138,Normal,394.08
287,4.58,59.07,0.0463,Normal,117.13
288,4.65,58.52,0.0426,Normal,125.61
289,4.67,58.71,-0.0497,Normal,
290,4.55,59.0,-0.0456,Normal,
291,4.58,58.89,0.0389,Normal,139.6
292,4.63,59.46,0.0326,Normal,164.89
293,4.64,59.52,-0.0111,Normal,
294,4.6,59.31,0.0148,Normal,363.58
295,4.67,59.09,0.0361,Normal,147.71
296,4.68,58.98,0.022,Normal,241.72
297,4.72,59.06,0.0607,Normal,87.12
298,4.8,58.93,0.0307,Normal,169.4
299,4.78,58.69,-0.0286,Normal,
300,4.74,58.78,0.0125,Normal,420.44
301,4.8,58.55,0.0651,Normal,79.89
302,4.87,58.89,0.0513,Normal,99.93
303,4.9,59.36,-0.0144,Normal,
304,4.84,59.05,-0.1021,Normal,
305,4.7,59.42,-0.045,Normal,
306,4.75,59.41,0.0374,Normal,140.41
307,4.77,59.13,0.109,Normal,47.92
308,4.97,59.16,0.1022,Normal,49.21
309,4.98,59.34,0.0236,Normal,212.59
310,5.02,59.4,-0.0124,Normal,
311,4.95,59.51,0.0437,Normal,115.56
312,5.11,59.85,0.139,Normal,35.21
313,5.23,59.72,0.0241,Normal,197.46
314,5.15,59.69,-0.0374,Normal,
315,5.16,59.96,-0.0655,Normal,
316,5.02,60.35,-0.074,Normal,
317,5.01,60.24,-0.0468,Normal,
318,4.93,59.83,-0.0076,Normal,
319,4.99,59.84,-0.0187,Normal,
320,4.89,59.52,-0.065,Normal,
321,4.86,59.94,-0.0238,Normal,
322,4.84,59.56,-0.0202,Normal,
323,4.82,59.49,-0.1177,Normal,
324,4.61,59.48,-0.1171,Normal,
325,4.59,59.65,0.0647,Normal,83.59
326,4.74,59.94,0.0632,Normal,83.26
327,4.72,59.66,0.0922,Normal,57.32
328,4.92,59.67,0.1035,Normal,49.06
329,4.92,59.67,0.0085,Normal,598.61
330,4.94,59.63,-0.015,Normal,
331,4.89,59.5,-0.0243,Normal,
332,4.89,59.36,-0.0298,Normal,
333,4.83,59.39,-0.0387,Normal,
334,4.81,59.76,-0.1162,Normal,
335,4.6,60.04,-0.0562,Normal,
336,4.7,59.52,0.0361,Normal,146.64
337,4.67,59.42,-0.07,Normal,
338,4.56,59.23,-0.1007,Normal,
339,4.47,59.67,-0.007,Normal,
340,4.55,59.99,0.0663,Normal,82.26
341,4.6,59.7,0.0079,Normal,684.16
342,4.56,59.83,-0.0699,Normal,
343,4.46,60.0,-0.0585,Normal,
344,4.45,59.91,0.0188,Normal,295.04
345,4.5,60.02,0.014,Normal,392.68
346,4.47,60.31,-0.0577,Normal,
347,4.39,60.47,-0.0195,Normal,
348,4.43,60.39,0.0368,Normal,151.36
349,4.46,60.07,0.05,Normal,110.77
350,4.53,60.03,0.0161,Normal,340.47
351,4.49,60.29,-0.0491,Normal,
352,4.44,59.94,-0.0904,Normal,
353,4.31,60.09,-0.1135,Normal,
354,4.21,60.53,-0.1345,Normal,
355,4.04,60.95,-0.0748,Normal,
356,4.06,60.93,-0.0134,Normal,
357,4.02,61.03,-0.0233,Normal,
358,4.01,61.3,0.0031,Normal,1954.08
359,4.02,61.34,-0.01,Normal,
360,3.99,61.33,-0.0022,Normal,
361,4.02,60.9,-0.0416,Normal,
362,3.91,61.09,-0.0471,Normal,
363,3.92,61.04,0.0076,Normal,802.47
364,3.93,61.13,-0.0209,Normal,
365,3.88,60.93,-0.0138,Normal,
366,3.9,60.69,0.0242,Normal,252.54
367,3.93,60.26,0.0575,Normal,105.57
368,4.01,60.38,0.0514,Normal,116.47
369,4.03,60.63,0.0769,Normal,77.63
370,4.17,60.88,-0.007,Normal,
371,4.02,60.56,-0.0986,Normal,
372,3.97,60.57,-0.0043,Normal,
373,4.01,60.38,0.0282,Normal,212.56
374,4.03,60.2,-0.017,Normal,
375,3.98,59.84,-0.0614,Normal,
376,3.9,59.51,-0.076,Normal,
377,3.82,59.77,-0.077,Normal,
378,3.75,60.43,-0.0182,Normal,
379,3.79,60.47,-0.0146,Normal,
380,3.72,60.65,-0.0574,Normal,
381,3.67,60.68,0.0794,Normal,79.7
382,3.88,60.66,0.1484,Normal,41.26
383,3.97,60.48,0.0446,Normal,135.28
384,3.97,60.92,-0.0265,Normal,
385,3.92,61.38,0.0032,Normal,1882.39
386,3.97,61.24,0.0536,Normal,112.41
387,4.02,61.48,0.0502,Normal,119.11
388,4.07,61.09,-0.0042,Normal,
389,4.02,61.02,-0.0321,Normal,
390,4.01,61.18,0.0041,Normal,1450.09
391,4.02,60.85,0.0223,Normal,267.78
392,4.05,61.0,0.0376,Normal,158.12
393,4.1,61.27,0.0557,Normal,105.84
394,4.17,61.38,0.0306,Normal,190.96
395,4.16,60.97,0.0144,Normal,406.13
396,4.19,61.02,0.028,Normal,206.97
397,4.22,60.7,-0.0324,Normal,
398,4.13,60.96,-0.0448,Normal,
399,4.13,61.13,-0.0004,Normal,
400,4.13,61.14,0.0387,Normal,151.84
401,4.2,61.01,0.0414,Normal,140.07
402,4.21,60.9,-0.0135,Normal,
403,4.18,60.82,-0.0085,Normal,
404,4.2,60.7,0.0591,Normal,98.2
405,4.3,60.48,0.0428,Normal,133.42
406,4.28,60.37,0.0504,Normal,113.47
407,4.4,60.42,0.0992,Normal,56.52
408,4.48,60.04,0.052,Normal,106.27
409,4.5,60.27,0.014,Normal,393.59
410,4.51,60.53,-0.0174,Normal,
411,4.47,60.89,0.0713,Normal,77.66
412,4.65,60.79,0.0741,Normal,72.17
413,4.61,61.16,0.0454,Normal,118.74
414,4.74,61.03,0.0464,Normal,113.42
415,4.71,60.96,-0.0706,Normal,
416,4.6,60.73,-0.0939,Normal,
417,4.52,60.53,-0.0416,Normal,
418,4.52,60.59,0.0606,Normal,90.45
419,4.64,60.34,0.1014,Normal,52.86
420,4.72,60.29,0.0374,Normal,141.23
421,4.71,60.46,-0.0469,Normal,
422,4.62,60.55,-0.0383,Normal,
423,4.64,60.68,0.0182,Normal,294.21
424,4.66,61.29,-0.0139,Normal,
425,4.61,61.16,-0.0504,Normal,
426,4.56,61.02,-0.0504,Normal,
427,4.51,61.32,0.0313,Normal,175.28
428,4.62,61.17,0.0235,Normal,228.55
429,4.56,61.29,-0.0554,Normal,
430,4.51,61.45,-0.014,Normal,
431,4.53,61.07,0.07,Normal,78.14
432,4.65,61.52,0.0374,Normal,143.03
433,4.6,61.42,-0.0131,Normal,
434,4.63,61.51,0.0378,Normal,142.25
435,4.68,62.01,0.0193,Normal,276.22
436,4.66,61.81,-0.0623,Normal,
437,4.55,61.63,-0.0565,Normal,
438,4.55,62.08,-0.022,Normal,
439,4.51,62.13,-0.0214,Normal,
440,4.51,62.43,0.1004,Normal,54.68
441,4.71,62.3,0.0815,Normal,64.89
442,4.67,62.56,0.0077,Normal,692.12
443,4.73,63.02,0.0506,Normal,104.15
444,4.77,62.93,0.047,Normal,111.25
445,4.82,63.21,0.0564,Normal,91.76
446,4.89,63.33,0.0755,Normal,67.75
447,4.97,63.63,0.098,Normal,51.34
448,5.08,63.79,0.0486,Normal,101.19
449,5.07,63.82,0.0416,Normal,118.61
450,5.17,63.62,0.063,Normal,76.73
451,5.19,63.52,0.0159,Normal,302.28
452,5.2,63.84,0.0088,Normal,546.18
453,5.21,63.85,-0.0468,Normal,
454,5.1,64.04,-0.0286,Normal,
455,5.16,64.58,0.0135,Normal,358.66
456,5.13,64.64,-0.0023,Normal,
457,5.15,65.03,0.0062,Normal,786.81
458,5.14,65.1,0.0205,Normal,236.89
459,5.19,65.15,0.0065,Normal,744.53
460,5.16,65.19,0.0251,Normal,193.09
461,5.24,64.94,0.0483,Normal,98.59
462,5.25,64.76,0.0531,Normal,89.38
463,5.35,64.38,0.0254,Normal,182.83
464,5.3,64.48,0.0403,Normal,116.65
465,5.43,64.46,0.0404,Normal,113.12
466,5.38,64.93,-0.0801,Normal,
467,5.27,64.38,-0.0403,Normal,
468,5.3,64.26,-0.0232,Normal,
469,5.22,64.43,-0.0311,Normal,
470,5.24,64.29,-0.0415,Normal,
471,5.14,64.51,-0.0252,Normal,
472,5.19,64.48,0.0999,Normal,48.15
473,5.34,64.22,0.0128,Normal,362.92
474,5.22,64.04,-0.0628,Normal,
475,5.21,64.1,-0.0115,Normal,
476,5.19,64.19,-0.0597,Normal,
477,5.09,64.55,-0.0533,Normal,
478,5.09,64.83,0.0104,Normal,471.38
479,5.11,64.95,0.0365,Normal,133.86
480,5.16,65.06,0.0485,Normal,99.8
481,5.21,65.39,0.0336,Normal,142.65
482,5.23,65.57,0.0043,Normal,1117.44
483,5.22,65.93,-0.0306,Normal,
484,5.17,66.38,-0.0287,Normal,
485,5.16,66.02,0.0035,Normal,1375.14
486,5.17,65.85,0.0387,Normal,124.58
487,5.24,65.69,0.0158,Normal,301.68
488,5.2,65.22,-0.0359,Normal,
489,5.17,64.61,-0.0814,Normal,
490,5.04,64.8,-0.0319,Normal,
491,5.1,64.91,-0.0072,Normal,
492,5.03,64.89,-0.0388,Normal,
493,5.03,64.6,0.06,Normal,82.9
494,5.15,64.82,0.0513,Normal,94.61
495,5.13,64.83,-0.0005,Normal,
496,5.15,64.32,-0.0016,Normal,
497,5.13,64.15,-0.05,Normal,
498,5.05,64.08,0.0318,Normal,155.58
499,5.19,64.24,0.2458,Normal,19.57
500,5.54,61.53,0.1406,Normal,31.75
501,5.47,61.8,0.0036,Normal,1258.24
502,5.54,61.88,0.096,Normal,46.41
503,5.66,62.48,0.0848,Normal,51.12
504,5.71,61.57,0.1142,Normal,37.54
505,5.89,61.92,0.0705,Normal,58.28
506,5.86,62.48,0.0224,Normal,185.18
507,5.94,62.79,0.0815,Normal,49.86
508,6.02,62.06,0.1392,Normal,28.61
509,6.21,62.53,0.0349,Normal,108.33
510,6.09,62.89,-0.0172,Normal,
511,6.18,62.71,0.1656,Normal,23.07
512,6.42,62.49,0.0373,Normal,95.97
513,6.25,62.7,0.0032,Normal,1180.3
514,6.43,62.1,-0.0059,Normal,
515,6.24,62.52,-0.0482,Normal,
516,6.33,62.63,0.1587,Normal,23.13
517,6.56,62.49,0.0683,Normal,50.38
518,6.47,62.93,0.0744,Normal,47.5
519,6.71,62.27,0.1499,Normal,21.96
520,6.77,63.33,0.0637,Normal,50.81
521,6.84,63.54,0.1153,Normal,27.45
522,7.0,62.96,0.0262,Normal,114.57
523,6.89,62.98,-0.028,Normal,
524,6.94,63.81,0.0018,Normal,1684.42
525,6.89,62.91,0.115,Normal,27.02
526,7.17,63.71,0.0993,Normal,28.5
527,7.09,63.69,0.0186,Normal,156.73
528,7.21,64.0,0.0775,Normal,36.03
529,7.25,63.86,0.152,Normal,18.11
530,7.51,63.74,0.059,Normal,42.19
531,7.36,63.84,-0.0603,Normal,
532,7.39,64.56,0.0652,Normal,40.0
533,7.49,63.54,0.0412,Normal,60.84
534,7.47,64.14,0.0875,Normal,28.88
535,7.67,63.55,0.1165,Normal,20.01
536,7.71,63.2,0.0327,Normal,70.13
537,7.73,64.03,0.1052,Normal,21.53
538,7.92,63.59,0.0015,Normal,1420.12
539,7.74,63.59,-0.0618,Normal,
540,7.79,64.53,0.1731,Normal,12.75
541,8.08,64.18,0.1623,Warning,11.8
542,8.12,64.15,-0.0058,Warning,
543,8.07,64.02,-0.0013,Warning,
544,8.12,63.58,0.0744,Warning,25.34
545,8.22,64.23,0.1022,Warning,17.4
546,8.32,64.34,0.0429,Warning,39.15
547,8.31,64.0,0.0331,Warning,51.19
548,8.39,64.7,0.0208,Warning,77.7
549,8.35,64.48,0.0664,Warning,24.86
550,8.52,64.21,0.0822,Warning,18.02
551,8.51,64.64,0.0053,Warning,278.39
552,8.53,64.74,0.0477,Warning,30.83
553,8.61,65.08,0.1988,Warning,7.0
554,8.93,64.36,0.1172,Warning,9.16
555,8.84,64.46,0.0081,Warning,142.43
556,8.94,64.29,0.0579,Warning,18.26
557,8.96,64.5,0.0101,Warning,103.3
558,8.96,64.49,0.0737,Warning,14.07
559,9.11,64.62,0.0904,Warning,9.9
560,9.14,64.86,0.0225,Warning,37.99
561,9.15,65.11,0.0074,Warning,114.0
562,9.16,65.18,0.1258,Warning,6.69
563,9.4,64.84,0.1373,Warning,4.35
564,9.43,65.8,-0.0339,Warning,
565,9.33,64.67,0.0252,Warning,26.39
566,9.48,65.08,0.1674,Warning,3.08
567,9.67,65.36,0.0158,Warning,20.87
568,9.52,64.94,0.0289,Warning,16.78
569,9.73,65.22,0.0938,Warning,2.91
570,9.7,65.88,-0.003,Warning,
571,9.72,65.53,0.0576,Warning,4.84
572,9.82,65.87,0.103,Warning,1.76
573,9.93,65.56,0.0632,Warning,1.15
574,9.95,65.55,-0.0227,Warning,
575,9.88,65.85,0.1331,Warning,0.89
576,10.21,65.45,0.0882,Critical,0.0
577,10.06,65.5,0.0133,Critical,0.0
578,10.24,66.08,0.0846,Critical,0.0
579,10.23,65.58,0.0347,Critical,0.0
580,10.31,65.37,0.0721,Critical,0.0
581,10.37,66.4,0.0063,Critical,0.0
582,10.32,65.49,0.1174,Critical,0.0
583,10.61,65.91,0.1555,Critical,0.0
584,10.63,66.14,-0.0097,Critical,0.0
585,10.59,66.43,-0.0208,Critical,0.0
586,10.59,66.35,0.0512,Critical,0.0
587,10.69,65.82,0.1089,Critical,0.0
588,10.81,66.29,0.069,Critical,0.0
589,10.83,65.97,0.1102,Critical,0.0
590,11.03,66.85,0.1048,Critical,0.0
591,11.04,66.43,-0.0728,Critical,0.0
592,10.88,67.38,0.019,Critical,0.0
593,11.08,66.35,0.1458,Critical,0.0
594,11.17,67.17,0.0615,Critical,0.0
595,11.2,67.26,0.0866,Critical,0.0
596,11.35,66.37,0.034,Critical,0.0
597,11.27,67.23,-0.0918,Critical,0.0
598,11.16,66.84,0.0297,Critical,0.0
599,11.33,66.76,0.1566,Critical,0.0
600,11.48,66.86,0.0951,Critical,0.0
601,11.52,66.61,0.1636,Critical,0.0
602,11.8,67.85,0.0356,Critical,0.0
603,11.59,67.78,-0.0477,Critical,0.0
604,11.71,67.25,0.104,Critical,0.0
605,11.79,66.99,0.1153,Critical,0.0
606,11.94,67.35,0.0435,Critical,0.0
607,11.88,66.83,-0.0151,Critical,0.0
608,11.91,66.74,0.0796,Critical,0.0
609,12.04,66.97,0.0851,Critical,0.0
610,12.08,68.05,0.1075,Critical,0.0
611,12.26,67.54,0.0671,Critical,0.0
612,12.21,68.35,0.0329,Critical,0.0
613,12.32,67.52,0.0064,Critical,0.0
614,12.23,67.86,0.0723,Critical,0.0
615,12.47,67.5,0.1287,Critical,0.0
616,12.48,67.65,0.0195,Critical,0.0
617,12.51,66.85,0.0395,Critical,0.0
618,12.56,68.29,0.0421,Critical,0.0
619,12.59,67.97,-2.8011,Critical,0.0
620,6.96,67.19,-2.8299,Normal,
621,6.93,67.14,-0.0384,Normal,
622,6.88,66.88,-0.0492,Normal,
623,6.83,66.58,-0.0246,Normal,
624,6.83,66.38,0.0107,Normal,295.49
625,6.85,65.99,0.0226,Normal,139.35
626,6.88,66.2,-0.0665,Normal,
627,6.72,66.3,-0.0306,Normal,
628,6.82,65.99,0.116,Normal,27.43
